node_id,infra_type,lat,lon,flood_depth_m,cascade_fail_freq,betweenness_centrality,upstream_trigger
power_hudson_avenue,power,40.703808553000044,-73.98173628399996,0.0,1.0,0.004631,power_farragut
power_farragut,power,40.705098649000035,-73.98451119499998,0.0,1.0,0.013306,power_hudson_avenue
power_cherry_street,power,40.71136985000004,-73.99068594499994,0.0,1.0,0.00106,telecom_cluster_0127
power_gowanus,power,40.66195172600004,-74.00302030199998,0.0,1.0,0.0,power_farragut
power_jamaica,power,40.69918522000006,-73.81390751099997,0.0,1.0,0.0,power_hudson_avenue
power_rainey,power,40.76322512000007,-73.94302610599993,0.0,1.0,0.0,power_farragut
power_west_49th_street,power,40.76600293900003,-73.99588389499996,0.0,1.0,0.01211,power_east_13th_street
power_marion,power,40.746442699000056,-74.06991519499996,0.0,1.0,0.0,power_farragut
telecom_cluster_0002,telecom,40.7008,-74.0044,0.0,1.0,0.0,power_cherry_street
telecom_cluster_0003,telecom,40.701225,-73.99445,0.0,1.0,0.0,power_farragut
telecom_cluster_0012,telecom,40.70487,-73.98917,0.0,1.0,0.0,power_farragut
telecom_cluster_0013,telecom,40.705775,-73.985075,0.0,1.0,0.0,power_farragut
telecom_cluster_0016,telecom,40.70946666666667,-74.01024,0.0,1.0,0.0,power_leonard_street
telecom_cluster_0017,telecom,40.7117,-74.0031,0.0,1.0,0.0,power_leonard_street
telecom_cluster_0019,telecom,40.711016666666666,-73.99381666666666,0.0,1.0,0.0,power_cherry_street
telecom_cluster_0022,telecom,40.70976666666667,-73.97983333333333,0.0,1.0,0.0,power_farragut
telecom_cluster_0023,telecom,40.7117,-73.9748,0.0,1.0,0.0,power_hudson_avenue
telecom_cluster_0024,telecom,40.7111,-73.9718,0.0,1.0,0.0,power_hudson_avenue
telecom_cluster_0029,telecom,40.71332727272727,-73.99403181818182,0.0,1.0,0.0,power_cherry_street
telecom_cluster_0034,telecom,40.71485,-73.9711,0.0,1.0,0.0,power_east_13th_street
telecom_cluster_0043,telecom,40.7184,-73.9711,0.0,1.0,0.0,power_east_13th_street
telecom_cluster_0061,telecom,40.7298,-73.97045,0.0,1.0,0.0,power_east_13th_street
telecom_cluster_0086,telecom,40.74436666666667,-73.97103333333332,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0093,telecom,40.7522,-73.9801,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0094,telecom,40.751175,-73.976575,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0099,telecom,40.753894736842106,-73.98572105263159,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0100,telecom,40.75384285714286,-73.98055714285714,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0101,telecom,40.752975,-73.97525,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0102,telecom,40.7528,-73.9709,0.0,1.0,0.0,power_east_36th_street
telecom_cluster_0106,telecom,40.7017,-74.0045,0.0,1.0,0.0,power_cherry_street
telecom_cluster_0107,telecom,40.70105,-73.99961666666667,0.0,1.0,0.0,power_farragut
telecom_cluster_0108,telecom,40.70104090909091,-73.99486818181818,0.0,1.0,0.0,power_farragut
telecom_cluster_0109,telecom,40.701375,-73.99025416666667,0.0,1.0,0.0,power_farragut
telecom_cluster_0117,telecom,40.705083333333334,-73.99408333333332,0.0,1.0,0.0,power_cherry_street
telecom_cluster_0118,telecom,40.70522068965517,-73.99027586206896,0.0,1.0,0.0,power_farragut
telecom_cluster_0119,telecom,40.704884615384614,-73.98564615384615,0.0,1.0,0.0,power_farragut
telecom_cluster_0120,telecom,40.7060375,-73.979625,0.0,1.0,0.0,power_hudson_avenue
telecom_cluster_0121,telecom,40.70395,-73.97565,0.0,1.0,0.0,power_hudson_avenue
telecom_cluster_0123,telecom,40.71039761904762,-74.01080476190477,0.0,1.0,0.0,power_leonard_street
telecom_cluster_0124,telecom,40.71117777777778,-74.00535555555555,0.0,1.0,0.0,power_leonard_street
