element_type,element_id,name,n_times_failed,n_converged_runs,pct_failed
line,206,EAST 13TH STREET <-> WEST 49TH STREET,75,1000,7.5
trafo,83,GOWANUS <-> GOWANUS (trafo),71,1000,7.1
bus,1128,GOWANUS,71,1000,7.1
bus,1527,GOWANUS,71,1000,7.1
trafo,82,GOWANUS <-> GOWANUS (trafo),71,1000,7.1
bus,1130,HUDSON AVENUE,38,1000,3.8
trafo,3,UNKNOWN124169 <-> UNKNOWN124169 (trafo),9,1000,0.9
bus,1467,UNKNOWN124169,9,1000,0.9
bus,25,UNKNOWN124169,9,1000,0.9
trafo,54,JAMAICA <-> JAMAICA (trafo),7,1000,0.7
line,1212,CORONA <-> JAMAICA,7,1000,0.7
line,1214,CORONA <-> JAMAICA,7,1000,0.7
line,1146,UNKNOWN129913 <-> JAMAICA,7,1000,0.7
line,1278,FAR ROCKAWAY <-> JAMAICA,7,1000,0.7
line,53,UNKNOWN124147 <-> JAMAICA,7,1000,0.7
line,1213,CORONA <-> JAMAICA,7,1000,0.7
line,1271,TAP135492 <-> VALLEY STREAM,7,1000,0.7
line,1144,TAP135493 <-> UNKNOWN129913,7,1000,0.7
line,1147,UNKNOWN129913 <-> JAMAICA,7,1000,0.7
line,54,UNKNOWN124147 <-> JAMAICA,7,1000,0.7
bus,1505,JAMAICA,7,1000,0.7
line,1145,TAP135493 <-> UNKNOWN129913,7,1000,0.7
line,1274,TAP135493 <-> TAP140039,7,1000,0.7
line,1281,VALLEY STREAM <-> JAMAICA,7,1000,0.7
line,2226,UNKNOWN124147 <-> JAMAICA,7,1000,0.7
bus,627,JAMAICA,7,1000,0.7
bus,569,UNKNOWN129913,7,1000,0.7
bus,600,CORONA,7,1000,0.7
line,1275,TAP135493 <-> TAP140039,7,1000,0.7
line,1282,VALLEY STREAM <-> JAMAICA,7,1000,0.7
bus,622,FAR ROCKAWAY,6,1000,0.6
bus,621,TAP135493,6,1000,0.6
bus,620,TAP135492,6,1000,0.6
line,1279,UNKNOWN124147 <-> HEWLETT,6,1000,0.6
line,1273,TAP135493 <-> HEWLETT,6,1000,0.6
line,1276,HEWLETT <-> FAR ROCKAWAY,6,1000,0.6
bus,626,WOODMERE,6,1000,0.6
bus,623,HEWLETT,6,1000,0.6
line,1270,TAP135492 <-> FAR ROCKAWAY,6,1000,0.6
line,1269,TAP135492 <-> FAR ROCKAWAY,6,1000,0.6
line,1272,TAP135492 <-> WOODMERE,6,1000,0.6
line,1280,UNKNOWN124147 <-> HEWLETT,6,1000,0.6
line,1277,HEWLETT <-> FAR ROCKAWAY,6,1000,0.6
line,1116,WEST ASTORIA <-> NORTH QUEENS,5,1000,0.5
line,1118,WEST ASTORIA <-> QUEENSBRIDGE,5,1000,0.5
line,2219,UNKNOWN172523 <-> UNKNOWN172524,5,1000,0.5
line,1117,WEST ASTORIA <-> QUEENSBRIDGE,5,1000,0.5
line,1200,NORTH QUEENS <-> UNKNOWN172523,5,1000,0.5
bus,996,TAP140039,0,1000,0.0
bus,16,UNKNOWN124147,0,1000,0.0
bus,555,WEST ASTORIA,0,1000,0.0
bus,78,EAST 13TH STREET,0,1000,0.0
bus,1129,RAINEY,0,1000,0.0
bus,628,QUEENSBRIDGE,0,1000,0.0
bus,625,VALLEY STREAM,0,1000,0.0
bus,560,UNKNOWN129558,0,1000,0.0
bus,556,EAST ASTORIA,0,1000,0.0
bus,585,PORT WASHINGTON,0,1000,0.0
bus,593,SPRAIN BROOK,0,1000,0.0
bus,594,BRUCKNER,0,1000,0.0
bus,595,TREMONT,0,1000,0.0
bus,596,NORTH QUEENS,0,1000,0.0
bus,597,GREAT NECK,0,1000,0.0
bus,598,PARKCHESTER,0,1000,0.0
bus,599,EAST 179TH STREET,0,1000,0.0
bus,1133,LEONARD STREET,0,1000,0.0
bus,1132,VERNON,0,1000,0.0
line,1211,DUNWOODIE <-> EAST 179TH STREET,0,1000,0.0
line,1208,PARKCHESTER <-> EAST 179TH STREET,0,1000,0.0
line,1204,EAST ASTORIA <-> NORTH QUEENS,0,1000,0.0
line,1210,DUNWOODIE <-> EAST 179TH STREET,0,1000,0.0
line,1209,DUNWOODIE <-> EAST 179TH STREET,0,1000,0.0
line,1203,NORTH QUEENS <-> UNKNOWN172524,0,1000,0.0
line,1197,TREMONT <-> SPRAIN BROOK,0,1000,0.0
line,1198,TREMONT <-> SPRAIN BROOK,0,1000,0.0
line,1201,NORTH QUEENS <-> UNKNOWN172524,0,1000,0.0
line,1199,TREMONT <-> SPRAIN BROOK,0,1000,0.0
line,1196,TREMONT <-> PARKCHESTER,0,1000,0.0
line,1193,BRUCKNER <-> UNKNOWN172524,0,1000,0.0
line,1194,BRUCKNER <-> EAST ASTORIA,0,1000,0.0
line,1195,TREMONT <-> PARKCHESTER,0,1000,0.0
line,1191,BRUCKNER <-> EAST 179TH STREET,0,1000,0.0
line,1190,BRUCKNER <-> EAST 179TH STREET,0,1000,0.0
line,1170,PORT WASHINGTON <-> GREAT NECK,0,1000,0.0
line,1192,BRUCKNER <-> EAST 179TH STREET,0,1000,0.0
bus,1499,DUNWOODIE,0,1000,0.0
bus,1456,UNKNOWN172524,0,1000,0.0
bus,1466,UNKNOWN124147,0,1000,0.0
bus,1492,EAST ASTORIA,0,1000,0.0
bus,1135,WEST 49TH STREET,0,1000,0.0
bus,1262,MARCY,0,1000,0.0
bus,1134,WEST 65TH STREET,0,1000,0.0
bus,1530,LEONARD STREET,0,1000,0.0
bus,1531,WEST 49TH STREET,0,1000,0.0
line,1114,BRUCKNER <-> WEST ASTORIA,0,1000,0.0
line,1115,BRUCKNER <-> WEST ASTORIA,0,1000,0.0
line,1127,UNKNOWN129558 <-> GREAT NECK,0,1000,0.0
bus,1455,UNKNOWN172523,0,1000,0.0
bus,1501,SPRAIN BROOK,0,1000,0.0
bus,1500,DUNWOODIE,0,1000,0.0
bus,1528,RAINEY,0,1000,0.0
bus,1502,TREMONT,0,1000,0.0
line,1205,EAST ASTORIA <-> NORTH QUEENS,0,1000,0.0
line,1202,NORTH QUEENS <-> UNKNOWN172524,0,1000,0.0
line,1287,QUEENSBRIDGE <-> VERNON,0,1000,0.0
line,1286,QUEENSBRIDGE <-> VERNON,0,1000,0.0
line,1285,QUEENSBRIDGE <-> VERNON,0,1000,0.0
line,1913,RAINEY <-> WEST 65TH STREET,0,1000,0.0
line,1912,RAINEY <-> WEST 65TH STREET,0,1000,0.0
line,1910,RAINEY <-> VERNON,0,1000,0.0
line,1911,LEONARD STREET <-> WEST 49TH STREET,0,1000,0.0
line,1908,RAINEY <-> VERNON,0,1000,0.0
line,1909,RAINEY <-> VERNON,0,1000,0.0
line,2222,RAINEY <-> UNKNOWN172523,0,1000,0.0
line,2221,RAINEY <-> UNKNOWN172523,0,1000,0.0
line,2220,RAINEY <-> UNKNOWN172523,0,1000,0.0
line,1916,WEST 65TH STREET <-> WEST 49TH STREET,0,1000,0.0
line,1914,WEST 65TH STREET <-> WEST 49TH STREET,0,1000,0.0
line,1915,WEST 65TH STREET <-> WEST 49TH STREET,0,1000,0.0
trafo,50,TREMONT <-> TREMONT (trafo),0,1000,0.0
trafo,33,EAST ASTORIA <-> EAST ASTORIA (trafo),0,1000,0.0
trafo,51,TREMONT <-> TREMONT (trafo),0,1000,0.0
trafo,32,EAST ASTORIA <-> EAST ASTORIA (trafo),0,1000,0.0
trafo,85,RAINEY <-> RAINEY (trafo),0,1000,0.0
trafo,84,RAINEY <-> RAINEY (trafo),0,1000,0.0
trafo,88,LEONARD STREET <-> LEONARD STREET (trafo),0,1000,0.0
trafo,89,WEST 49TH STREET <-> WEST 49TH STREET (trafo),0,1000,0.0
trafo,90,WEST 49TH STREET <-> WEST 49TH STREET (trafo),0,1000,0.0
trafo,91,WEST 49TH STREET <-> WEST 49TH STREET (trafo),0,1000,0.0
