element_type,element_id,name,n_times_failed,n_converged_runs,pct_failed
line,1906,HUDSON AVENUE <-> FARRAGUT,289,1000,28.9
line,1905,HUDSON AVENUE <-> FARRAGUT,288,1000,28.8
line,1148,UNKNOWN129920 <-> GOWANUS,282,1000,28.2
trafo,86,FARRAGUT <-> FARRAGUT (trafo),274,1000,27.4
trafo,87,FARRAGUT <-> FARRAGUT (trafo),274,1000,27.4
line,1901,GOWANUS <-> FARRAGUT,267,1000,26.7
line,1902,GOWANUS <-> FARRAGUT,265,1000,26.5
line,1150,UNKNOWN129920 <-> LEONARD STREET,255,1000,25.5
line,1149,UNKNOWN129920 <-> LEONARD STREET,252,1000,25.2
line,1903,FARRAGUT <-> RAINEY,249,1000,24.9
line,1215,UNKNOWN124169 <-> CORONA,247,1000,24.7
line,1904,FARRAGUT <-> RAINEY,238,1000,23.8
line,1907,FARRAGUT <-> LEONARD STREET,234,1000,23.4
bus,1529,FARRAGUT,193,1000,19.3
line,204,EAST ASTORIA <-> EAST 13TH STREET,178,1000,17.8
line,203,EAST ASTORIA <-> EAST 13TH STREET,177,1000,17.7
bus,570,UNKNOWN129920,173,1000,17.3
line,1284,HUDSON AVENUE <-> JAMAICA,173,1000,17.3
line,1283,HUDSON AVENUE <-> JAMAICA,172,1000,17.2
line,205,EAST 13TH STREET <-> WEST 49TH STREET,166,1000,16.6
line,206,EAST 13TH STREET <-> WEST 49TH STREET,165,1000,16.5
bus,1131,FARRAGUT,151,1000,15.1
line,1218,EAST ASTORIA <-> CORONA,133,1000,13.3
line,1206,DUNWOODIE <-> GREAT NECK,132,1000,13.2
line,1217,EAST ASTORIA <-> CORONA,132,1000,13.2
line,1216,EAST ASTORIA <-> CORONA,129,1000,12.9
line,88,UNKNOWN124169 <-> EAST ASTORIA,129,1000,12.9
line,1219,EAST ASTORIA <-> CORONA,124,1000,12.4
line,1207,TREMONT <-> GREAT NECK,115,1000,11.5
line,87,UNKNOWN124169 <-> EAST ASTORIA,109,1000,10.9
bus,1128,GOWANUS,94,1000,9.4
bus,1527,GOWANUS,94,1000,9.4
trafo,83,GOWANUS <-> GOWANUS (trafo),94,1000,9.4
trafo,82,GOWANUS <-> GOWANUS (trafo),94,1000,9.4
line,1188,WEST 49TH STREET <-> SPRAIN BROOK,84,1000,8.4
bus,78,EAST 13TH STREET,81,1000,8.1
line,1189,WEST 49TH STREET <-> SPRAIN BROOK,78,1000,7.8
line,1194,BRUCKNER <-> EAST ASTORIA,77,1000,7.7
line,2222,RAINEY <-> UNKNOWN172523,76,1000,7.6
line,1114,BRUCKNER <-> WEST ASTORIA,70,1000,7.0
line,2220,RAINEY <-> UNKNOWN172523,69,1000,6.9
line,2221,RAINEY <-> UNKNOWN172523,66,1000,6.6
bus,1130,HUDSON AVENUE,48,1000,4.8
bus,25,UNKNOWN124169,18,1000,1.8
trafo,3,UNKNOWN124169 <-> UNKNOWN124169 (trafo),18,1000,1.8
bus,1467,UNKNOWN124169,18,1000,1.8
trafo,54,JAMAICA <-> JAMAICA (trafo),14,1000,1.4
line,1275,TAP135493 <-> TAP140039,14,1000,1.4
line,1213,CORONA <-> JAMAICA,14,1000,1.4
line,1212,CORONA <-> JAMAICA,14,1000,1.4
line,53,UNKNOWN124147 <-> JAMAICA,14,1000,1.4
bus,1505,JAMAICA,14,1000,1.4
line,1144,TAP135493 <-> UNKNOWN129913,14,1000,1.4
line,1147,UNKNOWN129913 <-> JAMAICA,14,1000,1.4
line,1145,TAP135493 <-> UNKNOWN129913,14,1000,1.4
bus,627,JAMAICA,14,1000,1.4
bus,569,UNKNOWN129913,14,1000,1.4
bus,600,CORONA,14,1000,1.4
line,1214,CORONA <-> JAMAICA,14,1000,1.4
line,1271,TAP135492 <-> VALLEY STREAM,14,1000,1.4
line,1278,FAR ROCKAWAY <-> JAMAICA,14,1000,1.4
line,1274,TAP135493 <-> TAP140039,14,1000,1.4
line,1281,VALLEY STREAM <-> JAMAICA,14,1000,1.4
line,1282,VALLEY STREAM <-> JAMAICA,14,1000,1.4
line,54,UNKNOWN124147 <-> JAMAICA,14,1000,1.4
line,2226,UNKNOWN124147 <-> JAMAICA,14,1000,1.4
line,1146,UNKNOWN129913 <-> JAMAICA,14,1000,1.4
line,1272,TAP135492 <-> WOODMERE,12,1000,1.2
line,1270,TAP135492 <-> FAR ROCKAWAY,12,1000,1.2
bus,620,TAP135492,12,1000,1.2
bus,626,WOODMERE,12,1000,1.2
line,1269,TAP135492 <-> FAR ROCKAWAY,12,1000,1.2
line,1279,UNKNOWN124147 <-> HEWLETT,10,1000,1.0
line,1276,HEWLETT <-> FAR ROCKAWAY,10,1000,1.0
bus,621,TAP135493,10,1000,1.0
bus,623,HEWLETT,10,1000,1.0
bus,622,FAR ROCKAWAY,10,1000,1.0
line,1273,TAP135493 <-> HEWLETT,10,1000,1.0
line,1280,UNKNOWN124147 <-> HEWLETT,10,1000,1.0
line,1277,HEWLETT <-> FAR ROCKAWAY,10,1000,1.0
line,1116,WEST ASTORIA <-> NORTH QUEENS,8,1000,0.8
line,1117,WEST ASTORIA <-> QUEENSBRIDGE,7,1000,0.7
line,1118,WEST ASTORIA <-> QUEENSBRIDGE,7,1000,0.7
line,2219,UNKNOWN172523 <-> UNKNOWN172524,6,1000,0.6
line,1200,NORTH QUEENS <-> UNKNOWN172523,6,1000,0.6
bus,556,EAST ASTORIA,4,1000,0.4
bus,555,WEST ASTORIA,4,1000,0.4
line,1115,BRUCKNER <-> WEST ASTORIA,4,1000,0.4
bus,1492,EAST ASTORIA,4,1000,0.4
bus,1455,UNKNOWN172523,4,1000,0.4
line,1287,QUEENSBRIDGE <-> VERNON,4,1000,0.4
line,1285,QUEENSBRIDGE <-> VERNON,4,1000,0.4
line,1286,QUEENSBRIDGE <-> VERNON,4,1000,0.4
bus,1132,VERNON,4,1000,0.4
bus,628,QUEENSBRIDGE,4,1000,0.4
bus,1129,RAINEY,4,1000,0.4
trafo,85,RAINEY <-> RAINEY (trafo),4,1000,0.4
trafo,84,RAINEY <-> RAINEY (trafo),4,1000,0.4
trafo,32,EAST ASTORIA <-> EAST ASTORIA (trafo),4,1000,0.4
trafo,33,EAST ASTORIA <-> EAST ASTORIA (trafo),4,1000,0.4
line,1910,RAINEY <-> VERNON,4,1000,0.4
line,1912,RAINEY <-> WEST 65TH STREET,4,1000,0.4
line,1205,EAST ASTORIA <-> NORTH QUEENS,4,1000,0.4
bus,1528,RAINEY,4,1000,0.4
line,1127,UNKNOWN129558 <-> GREAT NECK,4,1000,0.4
line,1204,EAST ASTORIA <-> NORTH QUEENS,4,1000,0.4
line,1909,RAINEY <-> VERNON,4,1000,0.4
line,1908,RAINEY <-> VERNON,4,1000,0.4
line,1913,RAINEY <-> WEST 65TH STREET,4,1000,0.4
bus,596,NORTH QUEENS,3,1000,0.3
bus,1133,LEONARD STREET,3,1000,0.3
bus,594,BRUCKNER,3,1000,0.3
line,1191,BRUCKNER <-> EAST 179TH STREET,3,1000,0.3
bus,1530,LEONARD STREET,3,1000,0.3
line,1202,NORTH QUEENS <-> UNKNOWN172524,3,1000,0.3
line,1190,BRUCKNER <-> EAST 179TH STREET,3,1000,0.3
line,1193,BRUCKNER <-> UNKNOWN172524,3,1000,0.3
bus,1134,WEST 65TH STREET,3,1000,0.3
line,1916,WEST 65TH STREET <-> WEST 49TH STREET,3,1000,0.3
line,1911,LEONARD STREET <-> WEST 49TH STREET,3,1000,0.3
line,1915,WEST 65TH STREET <-> WEST 49TH STREET,3,1000,0.3
line,1914,WEST 65TH STREET <-> WEST 49TH STREET,3,1000,0.3
line,1203,NORTH QUEENS <-> UNKNOWN172524,3,1000,0.3
line,1208,PARKCHESTER <-> EAST 179TH STREET,3,1000,0.3
bus,1531,WEST 49TH STREET,3,1000,0.3
line,1192,BRUCKNER <-> EAST 179TH STREET,3,1000,0.3
bus,1456,UNKNOWN172524,3,1000,0.3
bus,1135,WEST 49TH STREET,3,1000,0.3
trafo,90,WEST 49TH STREET <-> WEST 49TH STREET (trafo),3,1000,0.3
trafo,91,WEST 49TH STREET <-> WEST 49TH STREET (trafo),3,1000,0.3
trafo,88,LEONARD STREET <-> LEONARD STREET (trafo),3,1000,0.3
trafo,89,WEST 49TH STREET <-> WEST 49TH STREET (trafo),3,1000,0.3
line,1201,NORTH QUEENS <-> UNKNOWN172524,3,1000,0.3
bus,598,PARKCHESTER,1,1000,0.1
line,1196,TREMONT <-> PARKCHESTER,1,1000,0.1
line,1195,TREMONT <-> PARKCHESTER,1,1000,0.1
bus,16,UNKNOWN124147,0,1000,0.0
bus,625,VALLEY STREAM,0,1000,0.0
bus,560,UNKNOWN129558,0,1000,0.0
bus,585,PORT WASHINGTON,0,1000,0.0
bus,595,TREMONT,0,1000,0.0
bus,593,SPRAIN BROOK,0,1000,0.0
bus,597,GREAT NECK,0,1000,0.0
bus,599,EAST 179TH STREET,0,1000,0.0
bus,996,TAP140039,0,1000,0.0
line,1211,DUNWOODIE <-> EAST 179TH STREET,0,1000,0.0
line,1209,DUNWOODIE <-> EAST 179TH STREET,0,1000,0.0
line,1198,TREMONT <-> SPRAIN BROOK,0,1000,0.0
line,1197,TREMONT <-> SPRAIN BROOK,0,1000,0.0
line,1210,DUNWOODIE <-> EAST 179TH STREET,0,1000,0.0
line,1170,PORT WASHINGTON <-> GREAT NECK,0,1000,0.0
bus,1502,TREMONT,0,1000,0.0
bus,1262,MARCY,0,1000,0.0
bus,1466,UNKNOWN124147,0,1000,0.0
bus,1499,DUNWOODIE,0,1000,0.0
bus,1500,DUNWOODIE,0,1000,0.0
bus,1501,SPRAIN BROOK,0,1000,0.0
line,1199,TREMONT <-> SPRAIN BROOK,0,1000,0.0
trafo,51,TREMONT <-> TREMONT (trafo),0,1000,0.0
trafo,50,TREMONT <-> TREMONT (trafo),0,1000,0.0
